product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,product_name,category,brand,criticality_level,stock_above_reorder,stock_above_safety,stock_health_status
P001,DEL001,196,59,46,340,115928,C15,Hydraulic Pump HP-300,Hydraulic,CAT,High,115869,115882,Overstock
P001,PUN001,198,70,43,349,109389,D16,Hydraulic Pump HP-300,Hydraulic,CAT,High,109319,109346,Overstock
P001,CHN001,187,62,44,311,99373,A11,Hydraulic Pump HP-300,Hydraulic,CAT,High,99311,99329,Overstock
P001,HYD001,226,71,65,417,108772,A10,Hydraulic Pump HP-300,Hydraulic,CAT,High,108701,108707,Overstock
P001,KOL001,263,94,58,475,103808,F03,Hydraulic Pump HP-300,Hydraulic,CAT,High,103714,103750,Overstock
P001,AHM001,236,77,53,455,106714,C20,Hydraulic Pump HP-300,Hydraulic,CAT,High,106637,106661,Overstock
P002,DEL001,166,57,35,261,108628,A06,Engine Oil Filter OF-90,Filters,JCB,Medium,108571,108593,Overstock
P002,PUN001,113,41,27,180,101623,E01,Engine Oil Filter OF-90,Filters,JCB,Medium,101582,101596,Overstock
P002,CHN001,267,102,76,465,105885,B04,Engine Oil Filter OF-90,Filters,JCB,Medium,105783,105809,Overstock
P002,HYD001,219,78,64,383,121013,A02,Engine Oil Filter OF-90,Filters,JCB,Medium,120935,120949,Overstock
P002,KOL001,288,105,73,511,107584,F18,Engine Oil Filter OF-90,Filters,JCB,Medium,107479,107511,Overstock
P002,AHM001,102,36,27,179,110279,E04,Engine Oil Filter OF-90,Filters,JCB,Medium,110243,110252,Overstock
P003,DEL001,113,44,31,190,104884,B07,Air Filter AF-120,Filters,Komatsu,Medium,104840,104853,Overstock
P003,PUN001,218,72,44,359,118139,F09,Air Filter AF-120,Filters,Komatsu,Medium,118067,118095,Overstock
P003,CHN001,191,62,39,365,107840,C09,Air Filter AF-120,Filters,Komatsu,Medium,107778,107801,Overstock
P003,HYD001,272,95,72,422,106658,E12,Air Filter AF-120,Filters,Komatsu,Medium,106563,106586,Overstock
P003,KOL001,234,80,52,386,110093,D02,Air Filter AF-120,Filters,Komatsu,Medium,110013,110041,Overstock
P003,AHM001,238,82,48,475,102501,C06,Air Filter AF-120,Filters,Komatsu,Medium,102419,102453,Overstock
P004,DEL001,172,57,35,267,110145,A14,Track Chain TC-45,Undercarriage,Volvo,High,110088,110110,Overstock
P004,PUN001,171,55,37,265,104859,E16,Track Chain TC-45,Undercarriage,Volvo,High,104804,104822,Overstock
P004,CHN001,171,58,41,339,103984,A15,Track Chain TC-45,Undercarriage,Volvo,High,103926,103943,Overstock
P004,HYD001,193,62,49,363,109943,D18,Track Chain TC-45,Undercarriage,Volvo,High,109881,109894,Overstock
P004,KOL001,115,44,33,187,110042,B06,Track Chain TC-45,Undercarriage,Volvo,High,109998,110009,Overstock
P004,AHM001,273,104,77,430,99909,C08,Track Chain TC-45,Undercarriage,Volvo,High,99805,99832,Overstock
P005,DEL001,242,94,63,463,110862,E03,Fuel Injector FI-220,Engine,Tata Hitachi,High,110768,110799,Overstock
P005,PUN001,262,89,76,436,108488,B10,Fuel Injector FI-220,Engine,Tata Hitachi,High,108399,108412,Overstock
P005,CHN001,172,68,40,336,114267,E05,Fuel Injector FI-220,Engine,Tata Hitachi,High,114199,114227,Overstock
P005,HYD001,178,62,51,341,112865,C13,Fuel Injector FI-220,Engine,Tata Hitachi,High,112803,112814,Overstock
P005,KOL001,215,83,43,357,104202,B19,Fuel Injector FI-220,Engine,Tata Hitachi,High,104119,104159,Overstock
P005,AHM001,106,37,29,175,108136,B06,Fuel Injector FI-220,Engine,Tata Hitachi,High,108099,108107,Overstock
P006,DEL001,131,43,26,234,99358,B09,Alternator ALT-500,Electrical,CAT,High,99315,99332,Overstock
P006,PUN001,210,69,43,356,111016,F02,Alternator ALT-500,Electrical,CAT,High,110947,110973,Overstock
P006,CHN001,119,41,31,181,110681,D03,Alternator ALT-500,Electrical,CAT,High,110640,110650,Overstock
P006,HYD001,275,84,62,472,109564,F19,Alternator ALT-500,Electrical,CAT,High,109480,109502,Overstock
P006,KOL001,105,33,28,181,109176,B13,Alternator ALT-500,Electrical,CAT,High,109143,109148,Overstock
P006,AHM001,170,62,43,291,107359,A01,Alternator ALT-500,Electrical,CAT,High,107297,107316,Overstock
P007,DEL001,205,79,59,383,119439,C04,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,119360,119380,Overstock
P007,PUN001,231,72,58,459,110464,C08,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,110392,110406,Overstock
P007,CHN001,230,77,46,434,108692,E17,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,108615,108646,Overstock
P007,HYD001,298,93,61,548,112543,C16,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,112450,112482,Overstock
P007,KOL001,273,93,62,438,99463,C03,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,99370,99401,Overstock
P007,AHM001,146,50,38,267,106222,C13,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,106172,106184,Overstock
P008,DEL001,298,116,69,572,106667,C16,Bucket Tooth BT-10,Attachments,Komatsu,Low,106551,106598,Overstock
P008,PUN001,86,33,17,147,99151,D12,Bucket Tooth BT-10,Attachments,Komatsu,Low,99118,99134,Overstock
P008,CHN001,265,104,75,477,108381,A08,Bucket Tooth BT-10,Attachments,Komatsu,Low,108277,108306,Overstock
P008,HYD001,270,93,75,467,101753,A08,Bucket Tooth BT-10,Attachments,Komatsu,Low,101660,101678,Overstock
P008,KOL001,135,43,30,262,99461,D04,Bucket Tooth BT-10,Attachments,Komatsu,Low,99418,99431,Overstock
P008,AHM001,259,85,57,430,109281,D10,Bucket Tooth BT-10,Attachments,Komatsu,Low,109196,109224,Overstock
P009,DEL001,147,57,32,261,102816,D10,Starter Motor SM-700,Electrical,Volvo,High,102759,102784,Overstock
P009,PUN001,186,56,37,345,111320,F09,Starter Motor SM-700,Electrical,Volvo,High,111264,111283,Overstock
P009,CHN001,226,89,53,387,111456,D11,Starter Motor SM-700,Electrical,Volvo,High,111367,111403,Overstock
P009,HYD001,282,101,82,436,100071,D03,Starter Motor SM-700,Electrical,Volvo,High,99970,99989,Overstock
P009,KOL001,104,35,25,201,110547,E10,Starter Motor SM-700,Electrical,Volvo,High,110512,110522,Overstock
P009,AHM001,183,61,44,333,95731,B15,Starter Motor SM-700,Electrical,Volvo,High,95670,95687,Overstock
P010,DEL001,133,43,37,220,106895,D11,Turbocharger TB-900,Engine,CAT,High,106852,106858,Overstock
P010,PUN001,159,48,45,267,114565,D20,Turbocharger TB-900,Engine,CAT,High,114517,114520,Overstock
P010,CHN001,120,44,29,191,113425,B09,Turbocharger TB-900,Engine,CAT,High,113381,113396,Overstock
P010,HYD001,171,62,46,307,110225,F12,Turbocharger TB-900,Engine,CAT,High,110163,110179,Overstock
P010,KOL001,179,61,46,294,100989,A13,Turbocharger TB-900,Engine,CAT,High,100928,100943,Overstock
P010,AHM001,128,43,27,245,115149,C09,Turbocharger TB-900,Engine,CAT,High,115106,115122,Overstock
P011,DEL001,243,85,64,369,112300,B01,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,112215,112236,Overstock
P011,PUN001,86,31,20,138,108691,F06,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,108660,108671,Overstock
P011,CHN001,155,50,32,233,110667,E15,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,110617,110635,Overstock
P011,HYD001,148,46,41,244,107771,B01,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,107725,107730,Overstock
P011,KOL001,300,113,68,582,109669,B08,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,109556,109601,Overstock
P011,AHM001,211,66,50,410,101291,D13,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,101225,101241,Overstock
P012,DEL001,257,98,67,489,119923,D13,Brake Pad BP-40,Brakes,JCB,Medium,119825,119856,Overstock
P012,PUN001,177,68,52,308,112603,B05,Brake Pad BP-40,Brakes,JCB,Medium,112535,112551,Overstock
P012,CHN001,155,54,32,274,107886,A16,Brake Pad BP-40,Brakes,JCB,Medium,107832,107854,Overstock
P012,HYD001,128,42,28,241,106209,F04,Brake Pad BP-40,Brakes,JCB,Medium,106167,106181,Overstock
P012,KOL001,188,67,51,368,109625,F17,Brake Pad BP-40,Brakes,JCB,Medium,109558,109574,Overstock
P012,AHM001,103,32,24,156,106861,F11,Brake Pad BP-40,Brakes,JCB,Medium,106829,106837,Overstock
P013,DEL001,126,48,27,249,108520,E18,Seal Kit SK-15,Seals,CAT,Medium,108472,108493,Overstock
P013,PUN001,80,25,16,133,104221,F04,Seal Kit SK-15,Seals,CAT,Medium,104196,104205,Overstock
P013,CHN001,156,56,45,307,106476,D08,Seal Kit SK-15,Seals,CAT,Medium,106420,106431,Overstock
P013,HYD001,233,86,52,412,111295,D06,Seal Kit SK-15,Seals,CAT,Medium,111209,111243,Overstock
P013,KOL001,129,44,26,233,105381,F03,Seal Kit SK-15,Seals,CAT,Medium,105337,105355,Overstock
P013,AHM001,84,25,22,150,98687,E04,Seal Kit SK-15,Seals,CAT,Medium,98662,98665,Overstock
P014,DEL001,203,72,44,384,111321,B15,Transmission Assembly TA-800,Transmission,Volvo,High,111249,111277,Overstock
P014,PUN001,87,33,20,164,113386,E17,Transmission Assembly TA-800,Transmission,Volvo,High,113353,113366,Overstock
P014,CHN001,157,60,40,303,114302,F14,Transmission Assembly TA-800,Transmission,Volvo,High,114242,114262,Overstock
P014,HYD001,200,71,50,377,111315,C17,Transmission Assembly TA-800,Transmission,Volvo,High,111244,111265,Overstock
P014,KOL001,268,106,60,519,105994,D06,Transmission Assembly TA-800,Transmission,Volvo,High,105888,105934,Overstock
P014,AHM001,108,32,27,171,105345,E07,Transmission Assembly TA-800,Transmission,Volvo,High,105313,105318,Overstock
P015,DEL001,223,75,60,387,100967,E12,Engine Block EB-600,Engine,Komatsu,High,100892,100907,Overstock
P015,PUN001,134,43,34,210,106048,A13,Engine Block EB-600,Engine,Komatsu,High,106005,106014,Overstock
P015,CHN001,239,91,57,370,113851,C20,Engine Block EB-600,Engine,Komatsu,High,113760,113794,Overstock
P015,HYD001,149,56,43,226,110035,A16,Engine Block EB-600,Engine,Komatsu,High,109979,109992,Overstock
P015,KOL001,292,116,81,508,96547,B18,Engine Block EB-600,Engine,Komatsu,High,96431,96466,Overstock
P015,AHM001,85,28,24,131,105135,A13,Engine Block EB-600,Engine,Komatsu,High,105107,105111,Overstock
P016,DEL001,242,84,66,434,104189,A02,Radiator RD-250,Cooling,JCB,Medium,104105,104123,Overstock
P016,PUN001,217,74,47,371,103006,A07,Radiator RD-250,Cooling,JCB,Medium,102932,102959,Overstock
P016,CHN001,180,71,45,309,112003,C19,Radiator RD-250,Cooling,JCB,Medium,111932,111958,Overstock
P016,HYD001,103,35,24,177,106040,A01,Radiator RD-250,Cooling,JCB,Medium,106005,106016,Overstock
P016,KOL001,148,49,32,277,97829,D04,Radiator RD-250,Cooling,JCB,Medium,97780,97797,Overstock
P016,AHM001,95,33,25,164,110893,D04,Radiator RD-250,Cooling,JCB,Medium,110860,110868,Overstock
P017,DEL001,243,93,72,479,112971,B15,Fan Belt FB-30,Belts,Tata Hitachi,Medium,112878,112899,Overstock
P017,PUN001,206,63,56,331,104847,F06,Fan Belt FB-30,Belts,Tata Hitachi,Medium,104784,104791,Overstock
P017,CHN001,178,59,45,300,106266,C15,Fan Belt FB-30,Belts,Tata Hitachi,Medium,106207,106221,Overstock
