product_id,total_quantity_sold,total_sales_value,product_name,category,brand,unit_cost,unit_price,margin_percentage
P015,45222,6888215040.0,Engine Block EB-600,Engine,Komatsu,95500,119000,24.6
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,Volvo,68500,83500,21.8
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,Komatsu,35600,46200,29.8
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,Volvo,31200,39800,27.6
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,Volvo,32500,39800,22.5
P010,46964,2097975808.0,Turbocharger TB-900,Engine,CAT,28900,34900,20.8
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,21500,27600,28.4
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,CAT,18950,24500,29.2
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,Volvo,16400,21900,33.5
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,CAT,12800,16900,32.0
P009,44946,857210112.0,Starter Motor SM-700,Electrical,Volvo,11450,14900,30.1
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,Volvo,9200,12950,40.8
P006,46731,669935616.0,Alternator ALT-500,Electrical,CAT,8650,11200,29.5
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,CAT,8200,11300,37.8
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,Tata Hitachi,7400,10300,39.2
P016,46306,557339016.0,Radiator RD-250,Cooling,JCB,7800,10200,30.8
P005,45026,487001216.0,Fuel Injector FI-220,Engine,Tata Hitachi,6350,8450,33.0
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,JCB,5600,7850,40.2
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,CAT,2750,3950,43.6
P012,45972,144168192.0,Brake Pad BP-40,Brakes,JCB,1800,2450,36.1
P028,46164,122565420.0,Light Assembly LA-18,Electrical,Generic,1450,2250,55.2
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,JCB,980,1450,48.0
P013,44081,75422591.0,Seal Kit SK-15,Seals,CAT,950,1450,52.6
P003,45684,67383900.0,Air Filter AF-120,Filters,Komatsu,820,1250,52.4
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,JCB,750,1150,53.3
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,JCB,450,720,37.3
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,Komatsu,340,580,70.6
P017,45578,27966660.8,Fan Belt FB-30,Belts,Tata Hitachi,320,520,62.5
P027,45678,25872019.2,O-Ring Set OR-50,Seals,Generic,260,480,84.6
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,Generic,180,310,72.2
