product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,product_name,category,brand,criticality_level,stock_vs_reorder,stock_vs_max,inventory_status
P001,DEL001,196,59,46,340,115928,C15,Hydraulic Pump HP-300,Hydraulic,CAT,High,115869,115588,Overstock
P001,PUN001,198,70,43,349,109389,D16,Hydraulic Pump HP-300,Hydraulic,CAT,High,109319,109040,Overstock
P001,CHN001,187,62,44,311,99373,A11,Hydraulic Pump HP-300,Hydraulic,CAT,High,99311,99062,Overstock
P001,HYD001,226,71,65,417,108772,A10,Hydraulic Pump HP-300,Hydraulic,CAT,High,108701,108355,Overstock
P001,KOL001,263,94,58,475,103808,F03,Hydraulic Pump HP-300,Hydraulic,CAT,High,103714,103333,Overstock
P001,AHM001,236,77,53,455,106714,C20,Hydraulic Pump HP-300,Hydraulic,CAT,High,106637,106259,Overstock
P002,DEL001,166,57,35,261,108628,A06,Engine Oil Filter OF-90,Filters,JCB,Medium,108571,108367,Overstock
P002,PUN001,113,41,27,180,101623,E01,Engine Oil Filter OF-90,Filters,JCB,Medium,101582,101443,Overstock
P002,CHN001,267,102,76,465,105885,B04,Engine Oil Filter OF-90,Filters,JCB,Medium,105783,105420,Overstock
P002,HYD001,219,78,64,383,121013,A02,Engine Oil Filter OF-90,Filters,JCB,Medium,120935,120630,Overstock
P002,KOL001,288,105,73,511,107584,F18,Engine Oil Filter OF-90,Filters,JCB,Medium,107479,107073,Overstock
P002,AHM001,102,36,27,179,110279,E04,Engine Oil Filter OF-90,Filters,JCB,Medium,110243,110100,Overstock
P003,DEL001,113,44,31,190,104884,B07,Air Filter AF-120,Filters,Komatsu,Medium,104840,104694,Overstock
P003,PUN001,218,72,44,359,118139,F09,Air Filter AF-120,Filters,Komatsu,Medium,118067,117780,Overstock
P003,CHN001,191,62,39,365,107840,C09,Air Filter AF-120,Filters,Komatsu,Medium,107778,107475,Overstock
P003,HYD001,272,95,72,422,106658,E12,Air Filter AF-120,Filters,Komatsu,Medium,106563,106236,Overstock
P003,KOL001,234,80,52,386,110093,D02,Air Filter AF-120,Filters,Komatsu,Medium,110013,109707,Overstock
P003,AHM001,238,82,48,475,102501,C06,Air Filter AF-120,Filters,Komatsu,Medium,102419,102026,Overstock
P004,DEL001,172,57,35,267,110145,A14,Track Chain TC-45,Undercarriage,Volvo,High,110088,109878,Overstock
P004,PUN001,171,55,37,265,104859,E16,Track Chain TC-45,Undercarriage,Volvo,High,104804,104594,Overstock
P004,CHN001,171,58,41,339,103984,A15,Track Chain TC-45,Undercarriage,Volvo,High,103926,103645,Overstock
P004,HYD001,193,62,49,363,109943,D18,Track Chain TC-45,Undercarriage,Volvo,High,109881,109580,Overstock
P004,KOL001,115,44,33,187,110042,B06,Track Chain TC-45,Undercarriage,Volvo,High,109998,109855,Overstock
P004,AHM001,273,104,77,430,99909,C08,Track Chain TC-45,Undercarriage,Volvo,High,99805,99479,Overstock
P005,DEL001,242,94,63,463,110862,E03,Fuel Injector FI-220,Engine,Tata Hitachi,High,110768,110399,Overstock
P005,PUN001,262,89,76,436,108488,B10,Fuel Injector FI-220,Engine,Tata Hitachi,High,108399,108052,Overstock
P005,CHN001,172,68,40,336,114267,E05,Fuel Injector FI-220,Engine,Tata Hitachi,High,114199,113931,Overstock
P005,HYD001,178,62,51,341,112865,C13,Fuel Injector FI-220,Engine,Tata Hitachi,High,112803,112524,Overstock
P005,KOL001,215,83,43,357,104202,B19,Fuel Injector FI-220,Engine,Tata Hitachi,High,104119,103845,Overstock
P005,AHM001,106,37,29,175,108136,B06,Fuel Injector FI-220,Engine,Tata Hitachi,High,108099,107961,Overstock
P006,DEL001,131,43,26,234,99358,B09,Alternator ALT-500,Electrical,CAT,High,99315,99124,Overstock
P006,PUN001,210,69,43,356,111016,F02,Alternator ALT-500,Electrical,CAT,High,110947,110660,Overstock
P006,CHN001,119,41,31,181,110681,D03,Alternator ALT-500,Electrical,CAT,High,110640,110500,Overstock
P006,HYD001,275,84,62,472,109564,F19,Alternator ALT-500,Electrical,CAT,High,109480,109092,Overstock
P006,KOL001,105,33,28,181,109176,B13,Alternator ALT-500,Electrical,CAT,High,109143,108995,Overstock
P006,AHM001,170,62,43,291,107359,A01,Alternator ALT-500,Electrical,CAT,High,107297,107068,Overstock
P007,DEL001,205,79,59,383,119439,C04,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,119360,119056,Overstock
P007,PUN001,231,72,58,459,110464,C08,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,110392,110005,Overstock
P007,CHN001,230,77,46,434,108692,E17,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,108615,108258,Overstock
P007,HYD001,298,93,61,548,112543,C16,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,112450,111995,Overstock
P007,KOL001,273,93,62,438,99463,C03,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,99370,99025,Overstock
P007,AHM001,146,50,38,267,106222,C13,Hydraulic Hose HH-60,Hydraulic,JCB,Medium,106172,105955,Overstock
P008,DEL001,298,116,69,572,106667,C16,Bucket Tooth BT-10,Attachments,Komatsu,Low,106551,106095,Overstock
P008,PUN001,86,33,17,147,99151,D12,Bucket Tooth BT-10,Attachments,Komatsu,Low,99118,99004,Overstock
P008,CHN001,265,104,75,477,108381,A08,Bucket Tooth BT-10,Attachments,Komatsu,Low,108277,107904,Overstock
P008,HYD001,270,93,75,467,101753,A08,Bucket Tooth BT-10,Attachments,Komatsu,Low,101660,101286,Overstock
P008,KOL001,135,43,30,262,99461,D04,Bucket Tooth BT-10,Attachments,Komatsu,Low,99418,99199,Overstock
P008,AHM001,259,85,57,430,109281,D10,Bucket Tooth BT-10,Attachments,Komatsu,Low,109196,108851,Overstock
P009,DEL001,147,57,32,261,102816,D10,Starter Motor SM-700,Electrical,Volvo,High,102759,102555,Overstock
P009,PUN001,186,56,37,345,111320,F09,Starter Motor SM-700,Electrical,Volvo,High,111264,110975,Overstock
P009,CHN001,226,89,53,387,111456,D11,Starter Motor SM-700,Electrical,Volvo,High,111367,111069,Overstock
P009,HYD001,282,101,82,436,100071,D03,Starter Motor SM-700,Electrical,Volvo,High,99970,99635,Overstock
P009,KOL001,104,35,25,201,110547,E10,Starter Motor SM-700,Electrical,Volvo,High,110512,110346,Overstock
P009,AHM001,183,61,44,333,95731,B15,Starter Motor SM-700,Electrical,Volvo,High,95670,95398,Overstock
P010,DEL001,133,43,37,220,106895,D11,Turbocharger TB-900,Engine,CAT,High,106852,106675,Overstock
P010,PUN001,159,48,45,267,114565,D20,Turbocharger TB-900,Engine,CAT,High,114517,114298,Overstock
P010,CHN001,120,44,29,191,113425,B09,Turbocharger TB-900,Engine,CAT,High,113381,113234,Overstock
